id,REPORTER_NAME,Reporter_family,REPORTER_CITY,REPORTER_STATE,REPORTER_COUNTY,BUYER_NAME,BUYER_CITY,BUYER_COUNTY,NDC_NO,QUANTITY,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,Product_Name,Ingredient_Name,Combined_Labeler_Name
1,"KPH HEALTHCARE SERVICES, INC.","KPH Healthcare Services, Inc.",GOUVERNEUR,NY,SAINT LAWRENCE,"KPH HEALTHCARE SERVICES, INC.",HAMILTON,MADISON,591054001,2,6192007,1.2108,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
2,"KPH HEALTHCARE SERVICES, INC.","KPH Healthcare Services, Inc.",GOUVERNEUR,NY,SAINT LAWRENCE,"KPH HEALTHCARE SERVICES, INC.",FULTON,OSWEGO,591085301,2,4192010,1.2108,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
3,BURLINGTON DRUG COMPANY,Burlington Drug Company,MILTON,VT,CHITTENDEN,ARLINGTON PHARMACY INC,LIBERTY,SULLIVAN,60951071270,12,7012013,10.758,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
4,BELLCO DRUG CORP,Bellco Drug Corp,NORTH AMITYVILLE,NY,SUFFOLK,FRS DRUG INC,NEW YORK,NEW YORK,603388721,1,12042006,0.6054,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
5,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",PENN YAN,YATES,406051201,4,5012007,1.793,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
6,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",BINGHAMTON,BROOME,53746010901,2,5022011,0.6054,HYDROCODONE BIT./ACETAMINOPHEN TABS.,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Amneal Pharmaceuticals LLC
7,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,E&M LINDY PHARMACY,LINDENHURST,SUFFOLK,68382079401,2,8262014,1.793,OXYCODONE HCL 10MG IR TABLET,OXYCODONE HYDROCHLORIDE,Zydus Pharmaceuticals (USA) Inc.
8,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",BUFFALO,ERIE,52152016502,6,1102008,2.877444,OXYCODO.HCL 5.35MG/TAB,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
9,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",HILTON,MONROE,59011048010,1,1082013,7.172,OXYCONTIN 80MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
10,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,BUFFALO PHARMACIES INC,WILLIAMSVILLE,ERIE,591038801,2,12072006,0.3027,HYDROCODONE BITARTARATE.2.5MG & ACET,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
11,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",OWEGO,TIOGA,228298311,6,12242013,5.379,OXYCODONE AND ACETA 10MG/325MG TABLE,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
12,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",NEW YORK,NEW YORK,406051201,2,3252013,0.8965,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
13,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",HOLBROOK,SUFFOLK,59011010710,3,1152010,21.516,OXYCONTIN - 80MG OXYCODONE.HCL CONTR,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
14,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,DUANE READE,NEW YORK,NEW YORK,52152021502,2,5172011,5.379,OXYCODONE HYDROCHLORIDE USP 30MG TAB,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
