id,REPORTER_NAME,Reporter_family,REPORTER_CITY,REPORTER_STATE,REPORTER_COUNTY,BUYER_NAME,BUYER_CITY,BUYER_COUNTY,NDC_NO,QUANTITY,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,Product_Name,Ingredient_Name,Combined_Labeler_Name
1,"KPH HEALTHCARE SERVICES, INC.","KPH Healthcare Services, Inc.",GOUVERNEUR,NY,SAINT LAWRENCE,"KPH HEALTHCARE SERVICES, INC.",HAMILTON,MADISON,59105,2,Q4-2006,1.2108,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
2,"KPH HEALTHCARE SERVICES, INC.","KPH Healthcare Services, Inc.",GOUVERNEUR,NY,SAINT LAWRENCE,"KPH HEALTHCARE SERVICES, INC.",FULTON,OSWEGO,59108,2,Q4-2006,1.2108,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
3,BURLINGTON DRUG COMPANY,Burlington Drug Company,MILTON,VT,CHITTENDEN,Other buyers (only appeared once),LIBERTY,SULLIVAN,60951,12,Q4-2006,10.758,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
4,BELLCO DRUG CORP,Bellco Drug Corp,NORTH AMITYVILLE,NY,SUFFOLK,Other buyers (only appeared once),NEW YORK,NEW YORK,60338,1,Q4-2006,0.6054,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
5,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",YONKERS,YATES,40605,4,Q4-2006,1.793,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
6,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",JOHNSON CITY,BROOME,53746,2,Q4-2006,0.6054,HYDROCODONE BIT./ACETAMINOPHEN TABS.,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Amneal Pharmaceuticals LLC
7,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,Other buyers (only appeared once),HUNTINGTON STATION,SUFFOLK,68382,2,Q1-2007,1.793,OXYCODONE HCI 10MG TABLETS USP,OXYCODONE HYDROCHLORIDE,Zydus Pharmaceuticals (USA) Inc.
8,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",TONAWANDA,ERIE,52152,6,Q1-2007,2.877444,OXYCOD.HCL/APAP;2.5MG & 325MG/TAB;BO,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
9,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",HILTON,MONROE,59011,1,Q1-2007,7.172,OXYCONTIN 80MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
10,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,BUFFALO PHARMACIES,TONAWANDA,ERIE,59103,2,Q1-2007,0.3027,HYDROCODONE BITARTARATE.2.5MG & ACET,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
11,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",LIBERTY,TIOGA,22829,6,Q1-2007,5.379,OXYCOD.HCL/APAP;2.5MG & 325MG/TAB;BO,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
12,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",NEW YORK,NEW YORK,40605,2,Q1-2007,0.8965,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
13,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",HUNTINGTON STATION,SUFFOLK,59011,3,Q1-2007,21.516,OXYCONTIN - 80MG OXYCODONE.HCL CONTR,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
14,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,DUANE READE,NEW YORK,NEW YORK,52152,2,Q1-2007,5.379,OXYCODONE HYDROCHLORIDE USP 30MG TAB,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
15,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,DUANE READE,MASPETH,QUEENS,52152,3,Q2-2007,8.0685,OXYCODONE HYDROCHLORIDE USP 30MG TAB,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
16,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",JOHNSON CITY,BROOME,10702,10,Q2-2007,8.965,OXYCODONE HCI 10MG TABLETS USP,OXYCODONE HYDROCHLORIDE,"KVK-Tech, Inc."
17,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,Other buyers (only appeared once),ALBANY,ALBANY,59103,1,Q2-2007,0.3027,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
18,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",STATEN ISLAND,RICHMOND,40605,5,Q2-2007,2.24125,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
19,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,Other buyers (only appeared once),WEBSTER,MONROE,53746,1,Q2-2007,0.3027,HYDROCODONE BIT./ACETAMINOPHEN TABS.,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Amneal Pharmaceuticals LLC
20,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,Other buyers (only appeared once),BROOKLYN,KINGS,59108,1,Q2-2007,0.672375,"OXYCODONE.HCL/APAP TABLETS, 7.5MG/50",OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
21,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",QUEENSBURY,WARREN,60338,1,Q2-2007,0.45405,HYDROCODONE BITARTRATE/ACETA 7.5MG/3,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
22,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",TROY,RENSSELAER,60338,1,Q2-2007,0.136215,HYDROCODONE BIT & ACETA 7.5MG/500MG,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
23,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",HIGHLAND,ULSTER,59108,1,Q2-2007,0.403425,OXYCOD.HCL/APAP;2.5MG & 325MG/TAB;BO,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
24,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",HUDSON FALLS,WASHINGTON,40603,1,Q2-2007,2.27025,HYDROCODONE BIT/ACETA 7.5MG/500MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
25,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,THE GOLUB CORPORATION,CLIFTON PARK,SARATOGA,59108,2,Q2-2007,1.2108,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
26,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,STRONG MEMORIAL HOSPITAL,ROCHESTER,MONROE,59011,6,Q2-2007,10.758,OXYCONTIN 20MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
27,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,STRONG MEMORIAL HOSPITAL,ROCHESTER,MONROE,22829,12,Q2-2007,10.758,OXYCOD.HCL/APAP;2.5MG & 325MG/TAB;BO,OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
28,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,THE STOP & SHOP SUPERMARKET,SOUTH SETAUKET,SUFFOLK,59108,1,Q2-2007,0.672375,"OXYCODONE.HCL/APAP TABLETS, 7.5MG/50",OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
29,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",WEST ISLIP,SUFFOLK,59011,5,Q2-2007,8.965,OXYCONTIN (OXYCODONE.HCL) CONTROLLED,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
30,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",NEW YORK,NEW YORK,40605,12,Q3-2007,5.379,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
31,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"CVS ALBANY, L.L.C.",ASTORIA,QUEENS,59011,1,Q3-2007,5.379,OXYCONTIN 60MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
32,"CARDINAL HEALTH 110, LLC",Cardinal Health,SYRACUSE,NY,ONONDAGA,"WALGREEN EASTERN CO., INC.",NEWBURGH,ORANGE,22828,1,Q3-2007,2.6895,"OXYCODONE HCL 30MG TABLETS, 100 CT",OXYCODONE HYDROCHLORIDE,"Actavis Pharma, Inc."
33,AMERICAN SALES COMPANY,American Sales Company,BALTIMORE,MD,BALTIMORE,TOPS MARKETS,HORNELL,STEUBEN,40603,1,Q3-2007,0.3027,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
34,AMERICAN SALES COMPANY,American Sales Company,BALTIMORE,MD,BALTIMORE,THE STOP & SHOP SUPERMARKET,AMITYVILLE,SUFFOLK,40603,1,Q3-2007,2.27025,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
35,AMERICAN SALES COMPANY,American Sales Company,BALTIMORE,MD,BALTIMORE,THE STOP & SHOP SUPERMARKET,STATEN ISLAND,RICHMOND,40603,3,Q3-2007,1.8162,HYDROCODONE BIT/ACETA 10MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
36,AMERICAN SALES COMPANY,American Sales Company,BALTIMORE,MD,BALTIMORE,THE STOP & SHOP SUPERMARKET,FRANKLIN SQUARE,NASSAU,60338,1,Q3-2007,1.5135,HYDROCODONE.BIT. & ACETA  5MG & 500M,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
